userName,score,at,content
MUIZZA GAMING,1,7/10/2024 9:32,"Game hancur, ga seimbang banget player baru kalo ketemu musuh. Game p2w banget. Dulu perasaan maen game ini fun banget, sekarang maen game ini bahkan belom lempar dadu aja udah kalah. Developer nya sampah bikin konsep kartu dan skill nya, bikin player males buat maenin ini game."
Muhamad Muklis,1,7/9/2024 23:22,"Bug menang keluar game diperbaikin tolong min, jadi susah buat kelarin misi nya"
nining sih,1,7/9/2024 10:17,"Fitur iklan di game ini mengapa tidak bisa digunakan padahal, kalian memberikan fitur iklan yang berbayar namun iklan yang seharusnya bisa diton ton malah tidak bisa. Tolong diperbaiki lagi, untuk kenyaman para player."
Tria Ivanda Fanesa,1,7/9/2024 8:51,"Apaan dah, lawan gak imbang, kadang pendant dan skill karakter sering banget gk aktif, gak adil banget ad karakter yang bisa rebut marble bisa pindah². POKOKNYA KARAKTERNYA GK ADIK, KETEMU LAWAN JUGA GAK ADIL, GAK JELAS"
Hadist Nursyah Alam Erlangga,1,7/9/2024 3:45,halo developer yg terhormat ini saya mau login kenapa stuck di loading screen terus ya padahal wifi lancar loh. device ku android. dan lagi kalaupun bisa login itu harus wajib pakai vpn kalo vpn dilepas bakal disconnect dan balik lagi stuck ga bisa masukm tolong difollow up permasalahan ini
Nadine Nur Almy Hidayat,1,7/8/2024 0:56,Tolong lah perbaiki bug nya masa menang 1× langsung keluar restart kalau kalah nggak ke restart kalau kaya gini bikin para pemain malas untuk memainkan game ini setiap menang keluar dari game harus login lagi jika mau main lagi. Minta tolong ya min perbaiki bug nya agar pemain merasa nyaman tidak terganggu karena harus keluar dari game pada saat pemain memenangkan game ini tolonglah perbaiki game ini agar para pemain tidak uninstall game ini makasih min jika Mimin membaca dan memperbaiki bug nya
Dewi sriwulan Rahayu,1,7/4/2024 16:45,Lama lama susah di kalahkan terus pendent jelek karakternya tidak bagus jadi bosan banyak kalahnya lagi senjtaanya jelek karakter nya kalah terus apa game tidak bermutu kalah terus apa karakter nya jelek pendnya juga tidak ada yang bagus.makin tinngi level makin susah musuh nya. Coba lah yang bijak hanya game kita punya kalah terus pendent tidak bagus karakter nya tidak ada yang menang makin tinggi makin di kalahkan makin susah diatur komputer kapan dapat pendent bagus karakter bagus ini maki
Muhamad Rizaldi,4,7/4/2024 15:23,"Banyak event menarik dan bagus, cuman banyak bug nya di update kali ini, entah mungkin bug atau tidak yg 1. backsound di loading login pake musik map gravity, 2. force close, 3. keterangan mani kalo summon water spirit sekarang jadi Anubis, padahal sebelumnya sesuai keterangannya water spirit, 4. Terkadang crow kalo summon pet crownya di line lain tapi habis bangun landmark di line yg sama bersama musuh, musuh malah ketarik ke landmark kita yg 1 lane, 5. Penjelasan legendary blue manwol"
irvanyuans.,2,7/3/2024 16:49,"gim tergoblog sih gk kayak dulu masih imbang sekarang masih 1 trun udah kalah, bangkrut di luar nalar!!! gk ada seimbangnya sama sekali ni gim mau tutup"
Fedro Susanto,1,7/3/2024 3:13,Baru mau main line get rich lagi tapi sekarang terlalu banyak iklan jadi malas mau main lagi tolong iklannya dihilangin atau dikurangi
Devita Ananda,1,7/3/2024 3:00,"BUG NYA MAKIN PARAH sebelum update mau main masuk kedalam game nya kadang kadang ngestuck loading lama, ditungguin tetap gamau, setelah update makin parah 1 kali win langsung ke restart dan harus login ulang, kalo kalah ngga ke restart dan main survival atau super boom itu gaada masalah. TOLONG DI PERBAIKI BUG NYA, susah jalanin misi nya, game nya seru padahal, kalo gini BOSEN mainin game nya harus login ulang terus!!!!! mending uninstall aja deh ga ngotak game nya!!!!!!!!"
Razky Ramadhan,1,7/2/2024 23:25,"Di game ini biasanya kita didalam event pendant mendapatkan pendant di sekitar 5k dm sampe 7k dm, tp saya sudah 7k dm lebih tidak mendapatkan event pendant tersebut dan sampai sekarang masih kurang 1 A+ pendant event, itu sangat meresahkan, dan terjadi lagi, baru comeback ni game, auto uninstall"
Prasetyo Ady,5,7/2/2024 12:30,Setelah update selalu crash force close tiap kali menang sampai sekarang belum ada perbaikan. Lama lama jadi males main kalau gini
Rofi Chanel,1,7/2/2024 6:39,Buat player gratisan kayanya jangan deh main game ini Ini game pay to win Baru juga main belum dapat giliran udaj kalah Engga kaya dulu pas awal awal rilis mainnya seimbang kalo sekarang harus punya deck yang OP caranya harus beli Bener bener kecewa sekarang sama game ini
Irene Irene Ozella Tennia,1,7/1/2024 10:48,"skrg gamenya uda ga kayak dulu, ga ada seimbangny player baru sm yg lama, harusnya dipisahin biar player baru ga cape kalah trs. Gamenya jg tiap login kluar sndiri smpe hrs login 3× baru bs main, ini saya coba barusan gamenya gbs masuk ud berkali"" login. Developer jg kelihatan tdk peduli dgn tnggpn player, tidak ada yg diperbaiki, yg ada hanyalah menambah map baru. Lalu, untuk mendapatkan card & item bisa diblg sngt sulit terutama untk player yg bermain secara gratis. Smg bs ditingkatkn kdpnnya."
Cinta Shafaa,3,7/1/2024 8:15,"Oke sih, tp game ini gk cocok buat yg free player... Klo mau kartu bagus minimal nabung diamond setahun baru bisa gacha. Kartu legend apalagi, harus TU... pendant bagus pun harus habis ribuan diamond"
G24_ Gaming,1,7/1/2024 8:12,"Pantesan gamenya ga laku udh ga cocok ini game buat pemula sumaph , ini mah bukan permainan , tapi maling yang lagi ngerampok para playernya , uang terus , punya uang gamenya auto win ini mah kacau"
Pri Rpm,1,7/1/2024 1:45,"Tolong diperbaiki. Masak habis menang langsung forclose alias keluar game sendiri, tapi kalau kalah aman2 aja. Makin aneh habis update"
Samsir Bpn,2,6/30/2024 10:06,Tolong min di perbaiki. Itu knp stiap win 1x lansung kluar sendiri FC. ini membuat saya jdi tdk nyaman. Trim...s🙏
เมห์เหม็ด เมห์เหม็ด,5,6/29/2024 19:02,"Semenjak update maintenance kemarin, main di maps baru maupun maps lain setelah selesai main itu selalu force close, beda sama main super boom/main di survival itu bisa back atau kembali seperti biasa, tolong di perbaiki lagi dong, karena sulit untuk ngejar misi harian nya kalau terus force close dan harus login lagi."
Slamet Riyadi,1,6/29/2024 5:36,"Ngebug kapan diperbaiki? Sekali win langsunh close sendiri,bgma mau selesain misi kl gk diperbaiki?!Event skrng juga makin parah rate nya gk kyk dulu ngejar event mudah dan murah. Tolonglagh card legend gk perlu top up kn kasihan yg model gratis kalah sm sultan. Sama iklan knpa susah bngt diputar dan wajib bayar!!!!!!!!"
Pengguna Google,1,6/28/2024 12:53,"Kecewa, asal menang slalu for close trus tolong perbaiki biar nyaman main nya padahal dari dulu saya suka game ini 🙏"
Else Desta,1,6/28/2024 10:03,"Setelah di update selalu crush dan permainan keluar dengan sendirinya jadinya tidak nyaman memainkan nya , tolong di perbaiki , sering error kehilangan signal , dan terestal ulang"
syaiful mu'min,1,6/28/2024 0:12,"Map baru karakter baru,tapi permainan gak seru, udah gak imbang, kalo bisa tuh ya ketemu lawan yang seimbang, ini mah gue masih diem di start, lawan udah menang aja, mana pendant sering gak fungsi kalo ketemu lawan yang kuat. Intinya udah kagak seasyik dulu yang main tuh seru,imbang."
Jasmine,2,6/27/2024 15:52,"ini knapa kok habis diupdate aku tiap habis menang malah keluar2 sndiri, kalo kalah gamenya normal biasa aja knapa yak :)) memoriku ga full kok tapi kok mesti hbis menang langsung keluar sendiri :)))))) jaringanku jga bagus kokkkkk knapa tiap habis win keluar2 sndiri"
Meetareniast,1,6/27/2024 13:31,"Kalah mulu, bisa pula ketemu lawan asik dia aja yang main bah. Gak dikasih kesempatan main. Tolonglah bikin game yg fair."
Anwar Bastian,1,6/27/2024 13:27,Ga bisa login tidak ada sinyal padahal udah pakai wifi dan data pantes aja banyak yg ngasi bintang 1 tolong perbaiki lagi tolo
Annissaa dwi,2,6/27/2024 13:07,Kenapa habis di update tiap main keluar mulu sih ... aneh banget kalau kayak gitu terus percuma di update kalau di buat 1 kali main keluar nanti masuk lagi dibuat main keluar lagi gak asik lah tolong dong benerin
Hari Setiawan,4,6/27/2024 8:29,"Dari segi permainan overall sudah baik ya, cuma ada beberapa karakter dan skill pendantnya itu gak bisa dimatch in karena skill dan pendant terlalu OP jadi butuh uang buat beli semua"
Fitri handayani sinaga,1,6/27/2024 4:27,"Sya pemain thn 2016 dulu seru main game ini, skrg thn 2024 sya balik lg knp Parah sekali game nya. Benar2 newbie yg ga pny duit dan karakter nya ga bagus PASTI BANGKRUT trus. Tiap seminggu sekali Upgrade trus last version. Habisin kuota loh itu. Tolong dikembalikan cara permainan game nya yang dlu. Tolong! Ini Monopoly jd tolong kembalikan game nya yg sprti tahun 2016. Klo tidak kalian bakalan bangkrut beneran banyak yg UNSINSTAL. Termasuk saya."
riff Q,1,6/26/2024 23:48,"Harusnya Game master getrich intropeksi dengan semua rating yg di berikan oleh playernya. kenapa siklus card itu sangatlah tidak adil bagi kaum free player, coba di posisikan game masternya pakek card yg tanpa Gem costum apakah bisa survive di dalam pertandingan ?? harusnya ada stabilizer antara mereka semua, se enggaknya ada class lah , 2M itu di kasih kunci / rate card /, dimana ada syarat mutlak yg hanya bisa di masukin sama newbie ( card jelek) di dalam class 2M itu sendiri."
Mulia Al Ikhwan (Ricky Cavalera),1,6/22/2024 0:20,"Turunlah bintang dari 5 ke 1, game ini menjadi semakin aneh, landmark yg awalnya tempat terakhir tidak bisa diambil sekarang dg karakter baru dg mudahnya ,,,, Game ini menjadi game org berduit, yg miskin minggir aja unfollow, gak ada gunanya main buang² data aja. Keindahan monopoly hilang sudah"
Isra Andhika Aldiyan,1,6/17/2024 16:22,"Gimana,sih ini game ga real,ya masa saya level 100 keatas dikasih kartu bertahan macam kagura,count arthur dan travel girl mars. yg lain level 100 keatas pada punya aslan,moohyul,riko&rika dll.tolong kalau ngatur game yg jujur dikit ya jangan kayak gini dan yg paling penting kalau pemain udah level tinggi tolong jangan dikasih masuk ke room untuk para pemain pemula kasian kalau yg level kartunya kalah jauh harus bertemu dengan pemain yg level kartunya tinggi. dadu sering boncos juga."
Coky Race,1,6/13/2024 3:17,"Turun lg bintang satu.. Blm ada perbaikan... Game ga ngotak asli... Ga ramah buat newbie & come back player.. 30x maen 30x kalah berturut turut.. Pelit karakter & pendant bagus.. Event buat dapet yg bagus sulit n rumit.. Karakter & pendant bagus hanya untuk yg berduit (BELi)... Jgn pelit2 kasih pendant & karakter bagus buat Player yg blm bisa beli.. Krn lama2 bosen klo maen kalah mulu... Klo sdh bosen yaaa auto uninstal laahhh.. Game ini bukan buat refreshing, yg ada bikin stroke..."
Monkey D. Luffy,1,6/6/2024 13:17,"Game yang sangat tidak masuk akal, kesenjangan antar pemain terlihat jelas. Minimal kalau pencarian musuh harus setara jangan disamaratakan. Yang pemain f2p temuin sama yang oemain f2p, itu baru fair play. Masak pemain f2p ditemuim sama player yang top up kan aneh betul."
Amri Cool,2,6/5/2024 3:12,"Udah pensiun lama dri getrich ini,2016 udah gak pernah maen lagi,,mau instal lagi sekarang malas ,,udah baca semua ulasan,Pendant gak ngotak ...dan untuk newbie dan player comeback jgn harap bisa Menang di turn pertama,,bakal ketemu lawan yg gak sesuai dengan karakter new bie,,A+ malah ketemu player S+ ,,,....hadeeeeh......,,"
MiqbalA,1,6/3/2024 0:51,"Kecewa bgt, padahal player lama, download lagi karna pengen nostalgia dan merasakan apakah ada kamjuan gamenya baik dari grafik atau gameplay, tapi sayang sekali malah makin anjlok belum main udah kenak iklan berkali kali, iklan nya modelan g bisa di skip pula, harus nonton 30 detik baru ada tombol skipny. Saya berharap mudah mudahan ada developer lain yang membuat game seperti ini yang jauh lebih sehat dan logis sebagai mana game online pada umumnya.. Tidak sedikit² iklan, dan lawan yang sesuai"
Ilmira Zehra,1,5/30/2024 4:03,"Worst experience main game ini setelah 9 tahun lalu baru main lagi. Kenapa ga dibikin konsep monopoly clasic kaya game lain kaya uno/ludo? Jadi rasanya seperti main di real life di masa kecil. Pemain jadi berpikir mengatur strategi gimana caranya buat menang. Kalau ada tembahan pendant masih ok, tapi kalau ketemu karakter yg ada marble flame? Rasanya langsung ga mood main. Wkwk Pliss developer siapapun bikin game monopoly yg vibesnya kaya game masa kecil."
Rijal Al Ihsan,1,5/20/2024 13:10,Game buang buang waktu....buat yang baru main susah kalo dah nemu lawan yang turn terus.....kalo sampe late pun cuma bisa jalan beberapa kali....bahkan main sampe waktu habis bisa cuma jalan sampe 7 kali......bener bener dah mending main monopoli biasa
Megantrophus Wibuapalcinius,1,5/12/2024 14:22,"Gamenya sangat sangat sangat pay to win, ga ramah buat player F2P, kapitalis juga dalam jangka waktu 1 bulan bisa keluar 2-3 kartu baru dan bahkan lebih dari 5 pendant baru, dalam 1 bulan belum lagi upgrade kartu nya, minimal kalau mau keluarin potensi paling besar dari skill kartunya, harus diupgrade yang sama sekali ga bisa dapet dari event, alias harus topup lebih kurang 150ribu, belum lagi ada custom gem nya parah banget pokoknya"
さくらあさみ,1,4/28/2024 7:58,Masak baru main langsung kalah cuman hitungan detik gak kaya dulu main bisa lama. Tolong kalau bisa main kasih lawan yang sepadan. Tolong sistemnya perbaiki maen di 2m ketenu sama levelnya jauh karakter dan pendan kalah jauh sama lawan ni saya pemain lama. Madak maen 34x meneng cuman 7x Hapus saja game ini game sampah
Ridho Salami,1,4/9/2024 13:06,"Karakter lawan tidak dibatasi, level rendah ketemu lawan level tinggi terus. Masih di stars lawan udah dapat line turis semuanya atau udah bangkrut duluan. Tidak ada seni bermain jadinya yang ada hanya menyaksikan lawan dapat line turis sebelum giliran kita dimulai."
Nasi Bungkus,1,4/7/2024 0:53,"Terlalu banyak p2w, buat para player gratisan jangan harap menang deh.. matchmaking nya ga balance selalu dapet musuh yg op terus, sekali nya menang dikasih musuh yg susah susah buat beberapa match kedepan"
Fann Gameing,1,3/24/2024 10:29,Coba di perbaiki lagi kalo mau rame saran saya. Masa maen arena sama rank kadang musuh nggak setara. Contoh game lain lah kalo rank dapet musuh setara jadi asik main nya. Ini nggak kadang di kasih musuh yang sudah jauh diatas kita. 🫥🫥
Aa Ojan (Auzan),1,3/22/2024 20:33,"Game yg sangat tidak kompetitif. Sangat menguntungkan kepada pemain yg membeli pass atau semacam anggota. Pemain gratisan akan sulit mendapatkan kartu dan pendant yg luar biasa. Mungkin season pertama kita main di beri kemenangan terus, setelah masuk season ke 2 lebih sering diberi musuh dengan karakter OP. Jadi kalian pemain gratisan cuma dapat kekalahan saja. Solo atau tim percuma, 1x menang 5x kalah. Match matching yang berat sebelah dan tidak adil"
Aandrean Candra,3,3/21/2024 8:15,"Sering sering update min, susah banget dpt karakter+pendant baru... Dipermudah dong misal bisa beli karakter/pendant pakai diamon... Diperbarui lg biar gak susah dapat karakter/pendant nya biar yang main banyak lg dan ramai. Kalau gak ada perkembangan pasti pada banyak yang bosen... Semoga kritik dan saran membantu agar kedepannya lbh maju dan berkembang..."
Angel Mecek,1,3/8/2024 16:28,"Game macam apa ini sekarang 🤣 belum aja 1 putaran musuh udah bisa menang terus landmark bisa di ambil alih, dulu pangagum game tapi pendant dll kok makin aneh sekali dulu belum 1 putaran belum bisa bangun landmark, pantesan banyak yg ngasih bintang 1 gak niat banget bersaing 😁, pertimbangkan lah game ini dulu seru tapi sekarang aduhh parah sih dengan keanehannya 🤣."
Sin,1,3/6/2024 7:59,"Game kayak taik, masa iya belum keluar tiba-tiba kalah aja. Cuma liatin musuh maen, lompat sana lompat sini bangun landmark nyedot musuh panggil musuh sobekin angel card bangkrut. Main fair lah, jangan karena kartu baru segala aktif giliran kita main ga ada yang aktif. Pernah emosi main mobile legend, tapi gak seemosi main getrich. Langsung auto uninstall game gak guna gak asik, kek anj."
Candra Bagus Saputra,1,2/28/2024 13:24,PARAH !!! Saya dari dulu maen game ini paling ga suka sama beli Package.. karena itu Pack gak fix dapat sesuai gambarnya.. itu kita sama aja Gacha.. buat yg mau beli Pack.. LIHAT COMMENT INI.. lalu gunanya score buat apa.. saya sarankan untuk ada pembatasan dari total score untuk Ekonomy.. misal lebih dari 200rb score udah ga bisa masuk Ekonomy.. sehingga untuk Char yg sudah GG dengan dengan score yg besar bisa ketemu dengan yang sepadan... GAME INI ADU SKILL ITEM COK. BUKAN ADU STRATEGI..
Rizky Ramadhan's,1,2/25/2024 6:41,"Untuk developer game Saya player lama, dahulu tidak ada masalah separah ini yang sangat menggangu sebenarnya untuk apa fitur ganjil genap? sudah menggunakan dadu terbaru, disaat saya menggunakan fitur ganjil genap ingin roll dadu di angka 2 dan bar sudah sesuai tetapi dadu yang keluar 6 dan 10 sangat jauh sekali perbedannya seolah olah saya tidak memakai fitur ganjil genap, hal ini terjadi berkali kali terjadi dalam satu permainan, mohon untuk memberikan keadilan pada player game ini."
෴୧рuтяі ୨෴,1,2/16/2024 12:46,"Dadu nya selalu jelek pas di lempar gak sesuai Mulu, pendant gak aktif Mulu, ketemu musuh nya yang susah harusnya di sesuaiin sama level yang masih awam bukan sama yang udah level gede, susah dapetin karakter bagus, pelit.. susah dapetin diamond."
Subakti Subakti,1,1/31/2024 16:11,"Bukan game buat hiburan ini, malah stress dapat musuh yang oper power terus belum main udah kalah. Main game ini gak perlu skil yang penting bisa top up caracter sama pendant yang oper power auto win gitu aja. Yang ngandelin gratisan gak usah berharap menang. Malah stress yang ada. Game rusak"
Lavaoca Awitrs,1,1/20/2024 16:52,"Beberapa kartu terlalu kuat, membuat permainan untuk kami yang pemula kesusahan dan muak untuk bermain, berikanlah kami lawan sesuai dengan level kami tanpa mengintimidasi kartu yang baru kami peroleh. Apa uninstall aja ya? karena match-nya selalu dengan kartu yang terlalu kuat, pantas sudah tidak selaku dulu"
LanG_ arestaNeLL,1,1/13/2024 12:28,"Wah parah banget udah beda jauh sama yang dulu. Ngeri sih makin kesini makin boring, Map Super Boom juga crashing parah. Pendant kalau ga di up pakai kualitas paling bagus bakalan gagal terus jadi buang² pendant, Karakter diatas A sulit banget dapetnya ga kayak dulu masih lumayan ratenya, map makin kecil makin membosankan bahkan jadi terlalu ez buat dapetin dadu double kesan monopolinya jadi hilang. Balikin aja kayak dulu lebih seru biar rame lagi, sekarang match making lama."
Dias Yudhistira,2,1/12/2024 18:06,"Minimal benerinlah matchmaking nya...Gimana playernya enggak pada kabur. Yang punya card bagus juga bosen kalau lawannya enggak imbang, juga sebaliknya buat player baru. Ini bentuk komplain ya, itu pun kalau ditanggapi dan diperbaiki."
Yadi Jeremia,1,1/8/2024 10:36,"Tambah lama tambah ngeselin permainan gak masuk akal,ini khusus permainan untuk org2 yg mau ngabisin uang nya untuk beli perdan n karakter.masa 1 x jalan bisa beli berderet kota. Games hanya untuk org2 yg punya uang kalo kita yg main cuma ngandelin dapat karakter gratis gak bakalan menang.bukanya games menghibur malah buat kesel."
Shara Dinna,1,12/18/2023 14:59,"Game yang makin hari makin jadi kek sampah. Setiap match terlalu sering dapat lawan berat sebelah. Wajar si, karena gamenya juga dah sepi, jadi yg main juga kemungkinan banyak player lama. Kalo udh hilang akun & jadi player baru lagi, ya jangan banyak ngarep lah dpt lwn seimbang."
Annando Kusuma,1,12/16/2023 16:28,"Ini kenapa kok ga bisa buat play game sedang bug atau gimana? Jadi kurang nyaman bermain tolong di benahi bug"" nya segera udah beberapa kali ku coba buat relog tapi tetep ga bisa main loding terus tolong segera di perbaiki"
Rifki Pasya,1,12/16/2023 14:34,"Percuma Maintenance mulu klo bug nya gapernah diperbaiki, buat main aja sulit, kebanyakan forsclose, bug makin banyak. Makin gak bener abis maintenance server. Tolong dibaca keluhan para pemain biar gamenya lebih maju lagi aneh banget."
Agus Gunawan,1,12/16/2023 4:18,"Update baru malah gak jelas , terutama di Superboom yang map baru 10 vs 10 malah stuck d pemilihan map & ayolah LGR dulu misi mudah mudah banget untuk ngumpulin diamond.. Kenapa kok sekarang mau nyelesain misi misi kok susah bgt!!! Tolong cepat di perbaiki yaa LGR!!!!"
Kayla Azzahra,2,12/15/2023 20:06,"Semenjak update, jadi ada bug di aplikasi nya, dan saya gabisa main, (1) ketika masuk ingame selalu nge fream, terus tiba"" keluar sndiri dan pemberitahuan nya ""aplikasi terdapat bug"", udah copot pemasangan trs di instal lagi, tetep aja gada perubahan, pls dong LGR gue pengen maen kek biasanya lagi:("
warung mbaknik,3,12/14/2023 20:42,"Halo admin. Saya sudah update yg terbaru, tp ada kendala. Saat sudah masuk pertandingan ketika giliranku lempar dadu game tiba2 force close. Kjdian terus berulang di setiap map. Aku sudah coba reinstall dan hapus cache kendala masih sama. Btw, device yg ku pke Samsung a10s. Apa sudah tidak compatible dgn device tersebut? Atau ada bug? Tolong direspond kak kendalanya!"
Yatko Chanel,1,12/14/2023 14:30,"Nggak ngotak skillnya, kadang belom mulai musuh sudah jadi landmark lah , terus begitu kita jalan ehh di tempat kita tiba-tiba pindah ke tempat musuh. Kadang nggak ada kena sama sekali ehh kena di jalurnya curi marble ehh langsung bangkrut. Jemboet... Beda ketika di tahun 2014 asik kita main"
Mahda Nafisha saleha,1,12/14/2023 8:57,"Baru aja update maintenance, setiap main d map baru Graffiti, dan map lain, terus terusan keluar sendiri dan relog, mohon di perbaiki, keluar masuk keluar masuk, mana udah banyak topik up pula nih akun, mubadzir kalo gak bisa login, padahal android Ram 3 masih luang, dan penyimpanan masih luang juga, TOLONG DI PERBAIKI"
Pak Ci,2,12/14/2023 7:17,"sebagai player dari jaman 2015 sangat sangat susah untuk bermain kembali, pendant dan card sekarang lebih susah didapatkan, juga item yang kita pakai tidak sepadan ketika dipertemukan dengan item sekarang. chance untuk mendapatkan itempun dikit meskipun lebih mudah mendapatkan diamond, jadi lebih susah untuk menyesuaikan kembali dengan player sekarang"
dian bachtiar,1,12/14/2023 6:31,"Kenapa jadi gini sih abis di upgrade bukan malah bener malah jadi gak asik, baru masuk room baru aja main tiba2 ngbug abis itu keluar sendiri dari game.. Sama 1 lagi bisa gak sih kalo kita main disandinginnya sama lawan yang setara gitu, gak asik banget masa baru main udah kalah line completion belom juga lempar dadu udah kalah telak.."
Zeza Sylus,1,11/27/2023 8:57,Yang bener aja dong. Masa lawannya susah banget. Lawannya tidak seimbang. Ditambah banyak sekali karakter peringkat atas yang mempunyai segala macam perdant membuat saya tidak dapat turn bahkan tidak jalan dan langsung kalah telak. Apakah saya harus beli karakter peringkat atas dulu agar saya bisa menang. Saya muak sekali bermain game ini kalah terus. Awal nya saya selalu menang dan jarang sekali kalah. Tapi semenjak lawan nya tidak seimbang saya kalah terus menerus.
Risandy,2,11/22/2023 1:15,"Game mekaniknya udah rusak banget. Gak ramah untuk newbie, sekarang main hanya untuk kalah. Gausah download, gak dapet fun menang sama sekali. Matchmaking juga nunggu lama cuman buat ketemu musuh OP yg bakalan bikin kalah."
M Arbain Husin,1,11/18/2023 18:09,"Saya rasa sekarang get rich bukan game monopoli seperti dulu dan tidak lagi menjadi game yang easy and fun to play, rate mendapatkan item penting di event sangat kecil meskipun sekarang diamond lebih mudah untuk dikumpulkan, tapi saya rasa developer hanya ingin mendapatkan keuntungan. Selain itu, sebagai player lama yang baru bermain kembali saya sering bertemu musuh yang tidak sepadan di setiap jenis match (economy-first class)."
Moethya A,1,11/9/2023 12:40,"Matching nggak imbang antar card, card biasa kebanting ngelawan yg baru-baru, kitanya belum jalan bidak lawan dah bikin landmark banyak, bahkan pernah sekali main si bidak lawan sama sekali nggak kena bayar tanah karna bisa loncat² ke landmarknya sendiri, serukah main begitu?!! maunya main santai sambil refreshing malah jadi emosi, seandainya ada sistem banned card, atau bikin sistem match yang setara dong elahhh🤬🤬"
TANPA EDIT,1,10/10/2023 9:27,"Makin kesini makin aneh permainannya, tolong lah skill karakter dan pendant nya jangan terlalu over power, Ini udah bukan game monopoli yg dulu lagi, terlalu sulit menang jika pendant dan karakter sudah kalah dari player lain, Harusnya game monopoli tuh bisa jalan pake dadu, bukannya tanpa melmpar dadu bisa pindah dengan sesuka hati, Dimana seru nya permainan bila gampang kalah dan gampang menang, Sangat kecewa dengan update yg sekarang, player lama yg mau bermain lagi malah jadi malas main"
Arya Triyandanu,1,10/8/2023 14:36,"Sangat tidak disarankan buat player lama yg ingin main lagi maupun newbie, karena match yg gak imbang. Saran aja kalo bisa buat player newbie di seimbangkan lah match nya kntl, masa baru main ketemu musuh yg pendant/hero nya udah bagus2"
Nabilla Ryca,1,10/1/2023 0:57,"Dulu zaman SD main ini tu seru banget. Mabar sama temen temen, ketawa bareng.. intinya momennya ngga terlupakan deh. Nah, aku sebagai player lama pingin install lagi, lah, kok, beda jauh yaa dari yg dulu...😭 Ngebosenin banget. Baru main aja udah kalah. Kalau dulu mah bisa ber turn². Pendant, ability cardnya juga ngga masuk akal. Feelnya ga dapet :( padahal mauu ngenang masa laluuu"
Rino Rino,1,9/28/2023 17:10,"Tolong perbaiki seperti dulu lagi. Dimana dapat karakter S, pendant S itu sangat sulit, dapat diamond sangat susah, dapat cube susah dll. Soalnya bikin game jadi ada tantangan. Ini baru main udah gampang banget dapat yang S+nya. Mana kalo udah maen cepat banget kelarnya. Gak kayak dulu bisa sampai 30 lebih menitnya"
Schwarz Tuwo,1,9/27/2023 12:30,"Game paling bangke yg pernah ada.... Hbs update bukan nya di benerin bug nya, ampe slesai event game nya bug nya msh ada... Ampasss bngtt. Sy player top up tp sama sekali gk di berikan kenyamanan maen ini game. Update besar-besaran yg ada bug nya bikin emosi."
Friendy Kristian,1,9/22/2023 6:22,"Lebih ditingkatkan lagi yaa, khusunya untuk pengalaman bermain player free to play, saat match making kasih lawan yg sepadan baik di permainan biasa maupun CL. dan semoga CL bisa dimainkan 2 vs 2 😊 dan perbaiki jaringan servernya supaya tidak sering putus saat player berada di lobby dalam waktu lama Maju Terus! 🔥🙌"
Marshall Dwann-_,3,9/19/2023 7:30,Kekurangan game ini: 1.Event terlalu sulit. 2. Presentase gak ngaruh kalo gak hoki/bener² 100%. 3.Musuh tidak sesuai untuk player baru. 4.Kemenangan hanya tertuju pada orang² P2W. 5.Gamenya Pelit/tidak mau rugi. Kelebihan game ini: 1. Menyenangkan kalau ada DM gratis di atas 1000. 2.- 3.- 4.- 5.- Dan seterusnya Saran aja untuk player baru/baru download! Mending beli akun daripada mulai dari 0. Gak akan bisa memahami dengan tenang jika musuh terlalu OP yang ada hanya EMOSI.
Jhondri Turnip,1,8/16/2023 20:46,"Game rusak, fixing match nya gak sepadan, baru mulai lawan udah completion. Game ini bukan tentang skill dadu, tapi tentang siapa yang punya card dan pendant bagus 100℅ pasti menang. Development nya terlalu banyak memodifikasi skill character dan pendant dengan skill yang gak masuk akal."
Said Attaufiq,1,8/2/2023 11:36,"Ini game macem apa si? Udah lama nggak maen, pas instal karakternya nggak ada otak semua. Masa baru maen tim lawan udah berkali-kali lempar dadu sampe menang. Itu baru main pendant lawan aktif semua daei mulai sampe kelar. Padahal yang lain juga belum lempar dadu. Mana pendant gw nggak di kasih aktif. Ada game baru super boom. Maen bertiga timnya auto semua. Yaiyalah lostreak 59x. Ngaco!!!! Njing dah ah ini game tadinya buat hiburan malah bikin prustasi. Pantesan pada di tinggalin player."
Ponco Haryadi,1,7/28/2023 21:55,Untuk tressure hunt ....seri kok di anggap kalah....penyerang donk yang menang....06/02/16... 29/07/23... Pemain lama yg ingin kembali main lagi...tpi gak jadi karena kebanyakan ulasan tidak semenarik dulu...namanya game apalagi untuk pemula dapatkan pemain harus di seimbangkan skill nya dulu...jangan di satukan dengan character dan ability yg OP 😂😂😂😂
ikhsan afidin,2,7/18/2023 18:53,"Find match selalu tidak seimbang dengan lawan. Lawan selalu jauh dri segi pemdant atau hero di atas dri kita. Tolong di perbaiki sistem findmatch nyaa, ketidak seimbangan musuh sering kali terjadi."
